label,article_id,n_related_tweets,n_unique_tweets,n_replies,n_unique_reply_tweets,engagement_total
0,0,500,500,255,38,755
0,1,2,2,1,1,3
0,2,2,2,0,0,2
0,3,1,1,0,0,1
0,4,1,1,0,0,1
0,5,7,7,0,0,7
0,6,21,21,1,1,22
0,7,1,1,0,0,1
0,8,6,6,1,1,7
0,9,2,2,0,0,2
0,10,1,1,0,0,1
0,11,15,15,0,0,15
0,12,13,13,4,2,17
0,14,3,3,0,0,3
0,16,3,3,0,0,3
0,17,2,2,1,1,3
0,19,19,19,0,0,19
0,20,1,1,0,0,1
0,22,1,1,0,0,1
0,23,5,5,0,0,5
0,24,12,12,4,3,16
0,25,32,32,2,2,34
0,26,1,1,0,0,1
0,27,7,7,0,0,7
0,28,2,2,2,1,4
0,30,8,8,1,1,9
0,31,5,5,0,0,5
0,32,4,4,1,1,5
0,33,17,17,21,4,38
0,34,3,3,0,0,3
0,35,3,3,0,0,3
0,36,23,23,19,1,42
0,37,3,3,0,0,3
0,38,18,18,0,0,18
0,39,4,4,1,1,5
0,40,11,11,2,1,13
0,41,5,5,1,1,6
0,42,16,16,1,1,17
0,43,7,7,0,0,7
0,44,21,21,0,0,21
0,45,16,16,0,0,16
0,46,12,12,0,0,12
0,47,5,5,0,0,5
0,48,4,4,3,1,7
0,49,35,35,3,2,38
0,50,9,9,0,0,9
0,51,1,1,0,0,1
0,52,6,6,0,0,6
0,53,2,2,0,0,2
0,54,15,15,0,0,15
0,55,3,3,0,0,3
0,56,5,5,0,0,5
0,57,27,27,6,2,33
0,58,2,2,0,0,2
0,59,1,1,0,0,1
0,60,4,4,1,1,5
0,61,42,42,2,1,44
0,62,3,3,5,1,8
0,63,8,8,0,0,8
0,64,11,11,0,0,11
0,65,1,1,0,0,1
0,66,4,4,0,0,4
0,68,8,8,0,0,8
0,69,8,8,0,0,8
0,70,11,11,6,3,17
0,71,20,20,6,3,26
0,72,8,8,0,0,8
0,73,4,4,0,0,4
0,74,13,13,0,0,13
0,75,27,27,7,3,34
0,76,14,14,0,0,14
0,77,23,23,1,1,24
0,78,15,15,0,0,15
0,79,7,7,0,0,7
0,80,12,12,0,0,12
0,81,2,2,0,0,2
0,82,3,3,0,0,3
0,83,3,3,0,0,3
0,84,8,8,0,0,8
0,85,7,7,0,0,7
0,86,8,8,0,0,8
0,87,7,7,1,1,8
0,88,2,2,0,0,2
0,89,7,7,0,0,7
0,90,25,25,0,0,25
0,91,16,16,3,3,19
0,92,8,8,2,1,10
0,93,49,49,15,2,64
0,94,17,17,8,1,25
0,95,3,3,0,0,3
0,96,33,33,2,1,35
0,97,3,3,0,0,3
0,99,32,32,0,0,32
0,100,4,4,0,0,4
0,101,14,14,1,1,15
0,102,12,12,1,1,13
0,103,9,9,1,1,10
0,105,11,11,4,1,15
0,106,4,4,0,0,4
0,107,5,5,0,0,5
0,108,32,32,2,1,34
0,109,1,1,0,0,1
0,110,2,2,0,0,2
0,111,2,2,0,0,2
0,112,5,5,1,1,6
0,113,10,10,3,1,13
0,114,41,41,27,2,68
0,115,28,28,0,0,28
0,116,12,12,0,0,12
0,117,10,10,16,4,26
0,118,5,5,0,0,5
0,119,4,4,0,0,4
0,120,37,37,6,5,43
0,121,15,15,0,0,15
0,122,4,4,0,0,4
0,123,36,36,1,1,37
0,124,8,8,0,0,8
0,125,23,23,0,0,23
0,126,7,7,0,0,7
0,127,18,18,9,2,27
0,128,48,48,3,3,51
0,130,3,3,0,0,3
0,131,1,1,0,0,1
0,132,1,1,0,0,1
0,133,8,8,2,1,10
0,134,17,17,0,0,17
0,135,10,10,29,2,39
0,137,8,8,0,0,8
0,138,111,111,19,10,130
0,139,9,9,0,0,9
0,140,3,3,0,0,3
0,141,3,3,0,0,3
0,142,59,59,2,1,61
0,143,5,5,0,0,5
0,144,17,17,5,3,22
0,145,5,5,0,0,5
0,146,6,6,1,1,7
0,147,16,16,0,0,16
0,148,21,21,48,1,69
0,149,1,1,0,0,1
0,150,2,2,0,0,2
0,151,22,22,2,1,24
0,152,9,9,0,0,9
0,153,13,13,2,1,15
0,154,25,25,1,1,26
0,155,50,50,0,0,50
0,156,8,8,0,0,8
0,157,9,9,0,0,9
0,158,5,5,14,3,19
0,159,19,19,0,0,19
0,160,56,56,0,0,56
0,161,1,1,0,0,1
0,162,17,17,0,0,17
0,163,74,74,5,2,79
0,164,1,1,0,0,1
0,165,52,52,6,4,58
0,166,47,47,2,2,49
0,167,20,20,3,2,23
0,168,6,6,0,0,6
0,169,13,13,1,1,14
0,170,5,5,1,1,6
0,171,13,13,4,1,17
0,172,16,16,0,0,16
0,173,15,15,0,0,15
0,174,9,9,0,0,9
0,175,2,2,0,0,2
0,176,10,10,0,0,10
0,177,4,4,0,0,4
0,178,3,3,0,0,3
0,179,2,2,1,1,3
0,180,7,7,0,0,7
0,183,33,33,3,2,36
0,184,8,8,0,0,8
0,185,15,15,0,0,15
0,186,14,14,0,0,14
0,187,175,175,61,20,236
0,188,15,15,0,0,15
0,189,19,19,0,0,19
0,190,94,94,7,6,101
0,191,136,136,19,9,155
0,192,58,58,3,3,61
0,193,23,23,0,0,23
0,194,30,30,0,0,30
0,195,112,112,6,5,118
0,196,77,77,10,7,87
0,197,76,76,1,1,77
0,198,367,367,60,25,427
0,199,84,84,27,1,111
0,200,16,16,1,1,17
0,201,24,24,0,0,24
0,202,433,433,26,14,459
0,203,500,500,52,26,552
0,204,26,26,21,1,47
0,205,31,31,0,0,31
0,206,38,38,4,2,42
0,207,36,36,4,2,40
0,208,29,29,2,1,31
0,209,87,87,0,0,87
0,210,206,206,19,9,225
0,211,111,111,13,8,124
0,212,43,43,0,0,43
0,213,40,40,0,0,40
0,214,8,8,0,0,8
0,215,48,48,5,2,53
0,216,55,55,13,7,68
0,217,48,48,3,2,51
0,218,27,27,0,0,27
0,219,35,35,0,0,35
0,220,84,84,2,2,86
0,221,71,71,8,4,79
0,222,265,265,253,69,518
0,223,500,500,194,48,694
0,224,198,198,24,12,222
0,225,211,211,55,11,266
0,226,56,56,58,8,114
0,227,50,50,0,0,50
0,228,48,48,1,1,49
0,229,33,33,2,1,35
0,230,78,78,14,4,92
0,231,131,131,14,7,145
0,232,31,31,0,0,31
0,233,58,58,2,2,60
0,234,61,61,1,1,62
0,235,48,48,1,1,49
0,236,85,85,7,3,92
0,237,70,70,14,8,84
0,238,25,25,2,1,27
0,239,10,10,2,2,12
0,240,500,500,511,89,1011
0,241,38,38,1,1,39
0,242,27,27,2,2,29
0,243,88,88,18,7,106
0,244,68,68,1,1,69
0,245,24,24,0,0,24
0,246,89,89,25,23,114
0,247,51,51,12,3,63
0,248,32,32,0,0,32
0,249,22,22,1,1,23
0,250,49,49,0,0,49
0,251,85,85,3,2,88
0,252,28,28,0,0,28
0,253,8,8,6,1,14
0,254,30,30,1,1,31
0,255,16,16,0,0,16
0,256,21,21,0,0,21
0,257,26,26,2,1,28
0,258,85,85,35,3,120
0,259,77,77,89,8,166
0,260,33,33,2,2,35
0,261,38,38,1,1,39
0,262,45,45,9,3,54
0,263,46,46,1,1,47
0,264,15,15,0,0,15
0,265,15,15,1,1,16
0,266,22,22,2,2,24
0,267,7,7,0,0,7
0,268,6,6,0,0,6
0,269,38,38,13,4,51
0,270,2,2,0,0,2
0,271,3,3,0,0,3
0,272,1,1,0,0,1
0,274,359,359,143,49,502
0,276,54,54,8,2,62
0,277,110,110,12,7,122
0,278,175,175,14,1,189
0,279,26,26,3,1,29
0,280,111,111,46,4,157
0,281,154,154,22,12,176
0,282,473,473,97,47,570
0,283,156,156,66,22,222
0,284,44,44,6,2,50
0,285,58,58,20,6,78
0,286,57,57,7,4,64
0,287,57,57,21,4,78
0,288,500,500,1,1,501
0,289,500,500,34,17,534
0,290,35,35,7,2,42
0,291,85,85,0,0,85
0,292,370,370,126,31,496
0,293,88,88,9,4,97
0,294,37,37,0,0,37
0,295,12,12,0,0,12
0,296,11,11,4,2,15
0,297,3,3,2,1,5
0,298,4,4,0,0,4
0,299,3,3,0,0,3
0,300,1,1,0,0,1
0,301,9,9,0,0,9
0,302,9,9,3,1,12
0,303,9,9,0,0,9
0,304,22,22,0,0,22
0,305,11,11,0,0,11
0,306,11,11,13,2,24
0,307,6,6,0,0,6
0,308,9,9,0,0,9
0,309,11,11,0,0,11
0,310,11,11,0,0,11
0,311,4,4,0,0,4
0,312,10,10,0,0,10
0,313,3,3,0,0,3
0,314,1,1,0,0,1
0,315,52,52,13,9,65
0,317,5,5,0,0,5
0,318,1,1,0,0,1
0,319,2,2,0,0,2
0,320,3,3,0,0,3
0,321,16,16,20,6,36
0,322,11,11,1,1,12
0,323,3,3,0,0,3
0,324,17,17,0,0,17
0,325,500,500,1675,250,2175
0,326,7,7,0,0,7
0,327,6,6,0,0,6
0,328,2,2,2,1,4
0,329,2,2,0,0,2
0,330,14,14,1,1,15
0,331,11,11,0,0,11
0,334,4,4,5,1,9
0,335,2,2,0,0,2
0,336,1,1,0,0,1
0,337,15,15,3,1,18
0,338,7,7,0,0,7
0,340,5,5,0,0,5
0,341,9,9,0,0,9
0,342,2,2,0,0,2
0,344,12,12,0,0,12
0,345,4,4,0,0,4
0,346,4,4,0,0,4
0,347,27,27,1,1,28
0,348,29,29,2,2,31
0,349,23,23,1,1,24
0,350,5,5,0,0,5
0,352,18,18,25,4,43
0,353,50,50,1,1,51
0,354,197,197,193,33,390
0,355,105,105,192,27,297
0,356,30,30,1,1,31
0,357,6,6,7,2,13
0,358,15,15,2,1,17
0,359,3,3,0,0,3
0,360,39,39,1,1,40
0,361,10,10,0,0,10
0,363,4,4,0,0,4
0,364,3,3,0,0,3
0,365,9,9,35,2,44
0,366,2,2,0,0,2
0,367,1,1,0,0,1
0,368,3,3,1,1,4
0,369,11,11,0,0,11
0,370,33,33,0,0,33
0,371,26,26,11,2,37
0,372,55,55,45,11,100
0,373,49,49,1,1,50
0,374,15,15,1,1,16
0,375,1,1,0,0,1
0,376,20,20,4,2,24
0,377,68,68,66,10,134
0,378,10,10,0,0,10
0,379,109,109,36,9,145
0,380,14,14,10,1,24
0,381,2,2,1,1,3
0,382,6,6,0,0,6
0,383,5,5,3,1,8
0,384,8,8,0,0,8
0,385,16,16,0,0,16
0,386,17,17,0,0,17
0,387,1,1,0,0,1
0,388,9,9,5,3,14
0,389,8,8,0,0,8
0,390,12,12,0,0,12
0,391,3,3,2,1,5
0,392,500,500,60,12,560
0,393,10,10,5,3,15
0,394,9,9,0,0,9
0,396,10,10,3,1,13
0,397,1,1,0,0,1
0,398,24,24,7,2,31
0,399,5,5,0,0,5
0,400,8,8,1,1,9
0,401,18,18,1,1,19
0,402,8,8,0,0,8
0,403,1,1,0,0,1
0,405,5,5,0,0,5
0,406,12,12,0,0,12
0,407,6,6,0,0,6
0,408,6,6,1,1,7
0,409,6,6,0,0,6
0,410,7,7,0,0,7
0,411,6,6,0,0,6
0,412,13,13,2,1,15
0,413,4,4,0,0,4
0,414,7,7,7,3,14
0,415,272,272,46,21,318
0,417,26,26,0,0,26
0,418,5,5,0,0,5
0,419,2,2,0,0,2
0,420,8,8,0,0,8
0,421,28,28,44,5,72
0,422,3,3,0,0,3
0,423,15,15,0,0,15
0,424,12,12,0,0,12
0,425,10,10,0,0,10
0,426,2,2,0,0,2
0,427,10,10,3,1,13
0,428,90,90,85,19,175
0,429,10,10,3,1,13
0,430,43,43,6,3,49
0,431,29,29,2,1,31
0,432,23,23,0,0,23
0,433,7,7,0,0,7
0,435,44,44,6,3,50
0,436,1,1,0,0,1
0,437,16,16,1,1,17
0,438,2,2,0,0,2
0,439,14,14,0,0,14
0,440,17,17,0,0,17
0,441,20,20,4,1,24
0,442,9,9,0,0,9
0,443,1,1,0,0,1
0,444,6,6,0,0,6
0,446,31,31,0,0,31
0,447,5,5,0,0,5
0,448,15,15,0,0,15
0,449,6,6,17,1,23
0,450,1,1,0,0,1
0,451,9,9,0,0,9
0,452,4,4,0,0,4
0,453,24,24,0,0,24
0,454,252,252,39,19,291
0,455,35,35,4,2,39
0,456,3,3,0,0,3
0,457,24,24,6,1,30
0,458,1,1,0,0,1
0,460,10,10,2,2,12
0,461,17,17,0,0,17
0,462,1,1,0,0,1
0,463,5,5,0,0,5
0,464,6,6,0,0,6
0,466,1,1,0,0,1
0,467,1,1,0,0,1
0,468,5,5,3,1,8
0,469,8,8,0,0,8
0,470,1,1,0,0,1
0,471,4,4,0,0,4
0,472,5,5,5,2,10
0,473,1,1,0,0,1
0,474,1,1,0,0,1
0,475,7,7,0,0,7
0,476,4,4,0,0,4
0,477,9,9,0,0,9
0,478,2,2,0,0,2
0,479,1,1,0,0,1
0,480,3,3,0,0,3
0,481,2,2,0,0,2
0,482,3,3,0,0,3
0,483,7,7,0,0,7
0,484,118,118,21,6,139
0,485,1,1,0,0,1
0,486,14,14,0,0,14
0,487,1,1,0,0,1
0,488,4,4,0,0,4
0,489,11,11,0,0,11
0,490,3,3,0,0,3
0,491,1,1,0,0,1
0,492,4,4,0,0,4
0,493,2,2,0,0,2
0,494,59,59,49,5,108
0,498,7,7,0,0,7
0,499,8,8,1,1,9
0,500,2,2,0,0,2
0,501,1,1,0,0,1
0,502,3,3,1,1,4
0,504,500,500,482,101,982
0,505,3,3,0,0,3
0,506,1,1,0,0,1
0,507,3,3,0,0,3
0,509,4,4,0,0,4
0,510,11,11,0,0,11
0,511,41,41,6,3,47
0,512,1,1,0,0,1
0,513,8,8,10,2,18
0,514,3,3,0,0,3
0,515,9,9,1,1,10
0,516,7,7,0,0,7
0,517,1,1,2,1,3
0,518,5,5,0,0,5
0,521,8,8,0,0,8
0,522,8,8,0,0,8
0,523,9,9,0,0,9
0,524,7,7,0,0,7
0,525,8,8,0,0,8
0,526,5,5,0,0,5
0,527,4,4,0,0,4
0,528,5,5,0,0,5
0,530,16,16,0,0,16
0,531,8,8,0,0,8
0,532,6,6,4,1,10
0,533,14,14,0,0,14
0,534,3,3,0,0,3
0,536,7,7,0,0,7
0,537,15,15,0,0,15
0,538,1,1,0,0,1
0,539,5,5,0,0,5
0,540,8,8,0,0,8
0,541,6,6,0,0,6
0,542,18,18,0,0,18
0,543,5,5,0,0,5
0,544,23,23,0,0,23
0,545,17,17,0,0,17
0,546,3,3,0,0,3
0,547,6,6,0,0,6
0,548,15,15,0,0,15
0,549,89,89,16,6,105
0,550,5,5,0,0,5
0,551,32,32,3,2,35
0,552,1,1,0,0,1
0,553,29,29,0,0,29
0,554,19,19,0,0,19
0,555,29,29,0,0,29
0,556,40,40,11,4,51
0,557,348,348,917,99,1265
0,560,8,8,0,0,8
0,561,12,12,0,0,12
0,562,65,65,16,4,81
0,563,17,17,0,0,17
0,564,11,11,0,0,11
0,565,19,19,0,0,19
0,566,4,4,0,0,4
0,567,29,29,0,0,29
0,568,5,5,0,0,5
0,569,21,21,0,0,21
0,570,26,26,0,0,26
0,571,19,19,0,0,19
0,573,30,30,0,0,30
0,574,16,16,0,0,16
0,575,6,6,0,0,6
0,576,21,21,2,2,23
0,577,28,28,0,0,28
0,578,4,4,0,0,4
0,579,15,15,11,1,26
0,580,6,6,0,0,6
0,581,2,2,0,0,2
0,582,20,20,0,0,20
0,583,34,34,1,1,35
0,584,7,7,0,0,7
0,585,6,6,0,0,6
0,586,30,30,0,0,30
0,587,2,2,0,0,2
0,588,26,26,5,3,31
0,589,20,20,2,1,22
0,590,27,27,0,0,27
0,592,130,130,20,5,150
0,593,4,4,2,1,6
0,594,29,29,0,0,29
0,595,29,29,0,0,29
0,596,29,29,0,0,29
0,597,16,16,0,0,16
0,598,4,4,0,0,4
0,599,2,2,0,0,2
0,600,111,111,28,9,139
0,601,4,4,0,0,4
0,602,19,19,1,1,20
0,603,16,16,0,0,16
0,604,8,8,0,0,8
0,605,13,13,0,0,13
0,606,21,21,0,0,21
0,607,6,6,0,0,6
0,608,7,7,0,0,7
0,609,12,12,0,0,12
0,610,10,10,1,1,11
0,611,29,29,1,1,30
0,612,4,4,0,0,4
0,614,2,2,0,0,2
0,615,48,48,0,0,48
0,616,36,36,0,0,36
0,617,16,16,0,0,16
0,618,20,20,0,0,20
0,619,13,13,0,0,13
0,620,4,4,0,0,4
0,621,15,15,0,0,15
0,622,26,26,0,0,26
0,623,15,15,0,0,15
0,624,25,25,0,0,25
0,625,49,49,39,10,88
0,626,4,4,0,0,4
0,627,152,152,18,7,170
0,628,2,2,0,0,2
0,629,168,168,40,14,208
0,630,2,2,0,0,2
0,633,24,24,0,0,24
0,634,9,9,0,0,9
0,635,3,3,0,0,3
0,636,8,8,0,0,8
0,637,18,18,2,1,20
0,639,35,35,0,0,35
0,640,22,22,0,0,22
0,641,17,17,0,0,17
0,642,2,2,0,0,2
0,644,83,83,5,5,88
0,645,38,38,3,3,41
0,646,23,23,1,1,24
0,647,9,9,4,3,13
0,649,34,34,0,0,34
0,650,49,49,2,1,51
0,651,28,28,0,0,28
0,652,18,18,1,1,19
0,653,11,11,0,0,11
0,654,20,20,0,0,20
0,655,14,14,0,0,14
0,656,31,31,1,1,32
0,657,100,100,137,10,237
0,658,13,13,0,0,13
0,659,31,31,0,0,31
0,660,17,17,0,0,17
0,661,1,1,0,0,1
0,662,19,19,0,0,19
0,663,42,42,1,1,43
0,664,26,26,0,0,26
0,665,11,11,0,0,11
0,666,26,26,0,0,26
0,667,37,37,0,0,37
0,668,18,18,0,0,18
0,669,8,8,0,0,8
0,670,20,20,0,0,20
0,671,15,15,1,1,16
0,672,28,28,2,2,30
0,673,13,13,0,0,13
0,674,320,320,63,27,383
0,675,77,77,1,1,78
0,676,21,21,0,0,21
0,677,500,500,285,100,785
0,678,52,52,67,14,119
0,680,3,3,0,0,3
0,681,43,43,9,3,52
0,682,4,4,0,0,4
0,683,10,10,0,0,10
0,684,11,11,0,0,11
0,685,23,23,0,0,23
0,686,12,12,2,1,14
0,687,135,135,14,6,149
0,688,31,31,1,1,32
0,689,1,1,0,0,1
0,690,34,34,6,2,40
0,691,30,30,1,1,31
0,692,23,23,0,0,23
0,693,52,52,1,1,53
0,694,19,19,0,0,19
0,695,36,36,2,1,38
0,696,17,17,0,0,17
0,697,17,17,0,0,17
0,698,31,31,0,0,31
0,699,11,11,0,0,11
0,700,16,16,0,0,16
0,701,64,64,10,5,74
0,702,24,24,1,1,25
0,703,23,23,1,1,24
0,704,7,7,0,0,7
0,705,27,27,2,1,29
0,706,34,34,7,1,41
0,707,1,1,0,0,1
0,708,6,6,0,0,6
0,709,22,22,0,0,22
0,710,35,35,0,0,35
0,712,1,1,0,0,1
0,713,21,21,1,1,22
0,714,21,21,0,0,21
0,715,76,76,6,3,82
0,716,7,7,18,1,25
0,717,10,10,7,4,17
0,718,29,29,3,1,32
0,719,97,97,37,17,134
0,720,34,34,1,1,35
0,721,4,4,0,0,4
0,722,11,11,0,0,11
0,723,20,20,0,0,20
0,724,7,7,0,0,7
0,725,19,19,0,0,19
0,726,29,29,1,1,30
0,727,13,13,0,0,13
0,728,34,34,0,0,34
0,729,17,17,0,0,17
0,730,44,44,91,11,135
0,731,2,2,0,0,2
0,733,2,2,0,0,2
0,734,39,39,1,1,40
0,735,15,15,1,1,16
0,736,36,36,1,1,37
0,737,30,30,0,0,30
0,738,177,177,84,26,261
0,739,2,2,0,0,2
0,741,37,37,0,0,37
0,742,16,16,0,0,16
0,743,17,17,0,0,17
0,744,20,20,0,0,20
0,745,5,5,0,0,5
0,746,32,32,1,1,33
0,747,17,17,0,0,17
0,748,18,18,0,0,18
0,749,154,154,58,19,212
0,750,27,27,0,0,27
0,751,12,12,0,0,12
0,752,28,28,5,3,33
0,753,498,498,161,47,659
0,754,12,12,0,0,12
0,755,46,46,2,1,48
0,756,10,10,0,0,10
0,757,14,14,0,0,14
0,758,7,7,0,0,7
0,759,31,31,0,0,31
0,760,67,67,5,4,72
0,761,4,4,0,0,4
0,762,18,18,2,1,20
0,763,3,3,0,0,3
0,764,17,17,0,0,17
0,765,22,22,0,0,22
0,766,30,30,0,0,30
0,767,9,9,0,0,9
0,768,17,17,0,0,17
0,769,6,6,0,0,6
0,770,32,32,2,2,34
0,771,17,17,0,0,17
0,772,14,14,0,0,14
0,773,26,26,2,2,28
0,774,21,21,1,1,22
0,775,30,30,0,0,30
0,776,24,24,0,0,24
0,777,14,14,0,0,14
0,778,8,8,1,1,9
0,779,2,2,0,0,2
0,780,57,57,6,2,63
0,781,13,13,0,0,13
0,782,6,6,0,0,6
0,783,141,141,156,34,297
0,784,1,1,0,0,1
0,785,16,16,4,1,20
0,786,3,3,1,1,4
0,787,18,18,0,0,18
0,788,6,6,0,0,6
0,789,13,13,0,0,13
0,790,13,13,0,0,13
0,791,12,12,0,0,12
0,792,24,24,4,3,28
0,793,13,13,0,0,13
0,794,8,8,0,0,8
0,795,21,21,0,0,21
0,796,8,8,0,0,8
0,797,13,13,1,1,14
0,798,6,6,0,0,6
0,799,21,21,0,0,21
0,800,6,6,0,0,6
0,802,16,16,0,0,16
0,803,5,5,0,0,5
0,804,66,66,34,7,100
0,805,95,95,15,7,110
0,806,9,9,0,0,9
0,807,26,26,0,0,26
0,808,6,6,0,0,6
0,809,25,25,1,1,26
0,810,18,18,0,0,18
0,811,11,11,0,0,11
0,812,13,13,0,0,13
0,813,144,144,159,30,303
0,814,24,24,5,3,29
0,816,40,40,2,2,42
0,817,17,17,3,1,20
0,818,31,31,10,2,41
0,819,43,43,2,2,45
0,820,107,107,24,9,131
0,821,36,36,0,0,36
0,822,24,24,2,1,26
0,823,24,24,1,1,25
0,824,41,41,2,1,43
0,825,17,17,0,0,17
0,826,93,93,2,1,95
0,827,23,23,0,0,23
0,828,43,43,2,2,45
0,829,23,23,0,0,23
0,830,10,10,0,0,10
0,831,52,52,16,3,68
0,832,27,27,0,0,27
0,833,66,66,7,4,73
0,834,2,2,0,0,2
0,835,3,3,1,1,4
0,836,1,1,0,0,1
0,837,5,5,0,0,5
0,838,6,6,0,0,6
0,839,107,107,54,12,161
0,840,27,27,0,0,27
0,841,7,7,0,0,7
0,842,47,47,2,2,49
0,843,4,4,0,0,4
0,844,5,5,0,0,5
0,845,28,28,7,3,35
0,846,7,7,0,0,7
0,847,15,15,16,6,31
0,848,37,37,3,2,40
0,849,3,3,0,0,3
0,850,29,29,1,1,30
0,851,1,1,0,0,1
0,852,8,8,0,0,8
0,853,5,5,0,0,5
0,854,126,126,360,37,486
0,855,18,18,0,0,18
0,856,16,16,1,1,17
0,857,8,8,0,0,8
0,858,4,4,0,0,4
0,859,10,10,0,0,10
0,860,223,223,181,50,404
0,861,39,39,1,1,40
0,862,5,5,0,0,5
0,863,19,19,3,1,22
0,865,107,107,6,4,113
0,866,43,43,3,2,46
0,868,500,500,206,63,706
0,869,16,16,0,0,16
0,870,9,9,0,0,9
0,871,83,83,17,8,100
0,872,1,1,0,0,1
0,873,23,23,1,1,24
0,874,8,8,0,0,8
0,875,7,7,0,0,7
0,876,37,37,2,1,39
0,877,24,24,1,1,25
0,878,5,5,0,0,5
0,879,23,23,0,0,23
0,880,8,8,0,0,8
0,881,12,12,0,0,12
0,882,24,24,0,0,24
0,883,8,8,0,0,8
0,884,57,57,9,4,66
0,885,1,1,0,0,1
0,886,9,9,3,1,12
0,889,25,25,0,0,25
0,890,73,73,13,6,86
0,891,9,9,0,0,9
0,892,24,24,19,6,43
0,893,20,20,61,9,81
0,895,123,123,14,4,137
0,896,7,7,0,0,7
0,897,55,55,2,1,57
0,898,254,254,207,50,461
0,899,11,11,1,1,12
0,900,28,28,1,1,29
0,901,17,17,2,2,19
0,902,20,20,0,0,20
0,903,29,29,0,0,29
0,904,11,11,0,0,11
0,905,3,3,0,0,3
0,906,8,8,1,1,9
0,907,7,7,0,0,7
0,909,15,15,0,0,15
0,910,18,18,0,0,18
0,911,18,18,2,1,20
0,913,220,220,26,9,246
0,914,11,11,2,1,13
0,915,20,20,0,0,20
0,916,6,6,0,0,6
0,918,15,15,0,0,15
0,919,58,58,24,8,82
0,921,31,31,33,6,64
0,922,32,32,0,0,32
0,923,10,10,0,0,10
0,924,7,7,0,0,7
0,925,10,10,2,1,12
0,927,8,8,0,0,8
0,928,2,2,0,0,2
0,929,5,5,1,1,6
0,930,2,2,0,0,2
0,931,8,8,7,1,15
0,932,20,20,0,0,20
0,933,20,20,0,0,20
0,934,12,12,2,2,14
0,935,3,3,0,0,3
0,936,3,3,0,0,3
0,937,3,3,0,0,3
0,938,7,7,0,0,7
0,939,23,23,0,0,23
0,940,41,41,22,6,63
0,941,389,389,27,20,416
0,942,19,19,0,0,19
0,943,79,79,57,6,136
0,944,21,21,0,0,21
0,945,62,62,11,3,73
0,946,18,18,0,0,18
0,947,9,9,2,1,11
0,948,16,16,1,1,17
0,949,24,24,22,5,46
0,950,15,15,0,0,15
0,951,500,500,1012,195,1512
0,952,10,10,11,1,21
0,953,28,28,0,0,28
0,954,38,38,1,1,39
0,955,38,38,9,2,47
0,956,13,13,0,0,13
0,957,5,5,0,0,5
0,958,21,21,0,0,21
0,959,13,13,0,0,13
0,960,84,84,5,3,89
0,961,5,5,0,0,5
0,962,9,9,0,0,9
0,963,11,11,0,0,11
0,964,31,31,0,0,31
0,965,24,24,0,0,24
0,966,4,4,0,0,4
0,967,21,21,0,0,21
0,968,11,11,0,0,11
0,969,8,8,0,0,8
0,970,17,17,0,0,17
0,971,19,19,1,1,20
0,972,11,11,0,0,11
0,973,6,6,1,1,7
0,974,21,21,0,0,21
0,975,8,8,0,0,8
0,976,6,6,0,0,6
0,977,10,10,0,0,10
0,978,33,33,5,2,38
0,979,4,4,0,0,4
0,980,18,18,7,3,25
0,981,1,1,0,0,1
0,982,1,1,2,1,3
0,983,21,21,0,0,21
0,984,28,28,0,0,28
0,985,32,32,7,3,39
0,986,26,26,0,0,26
0,987,1,1,0,0,1
0,988,34,34,0,0,34
0,989,12,12,0,0,12
