ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,best_method,top_degree_harm,best_harm,top_degree_gap,top_degree_is_best
large_circles,community_concentrated,medium,bucket,high,10,top_degree_blocking,84.97500000000004,84.97500000000004,0.0,True
large_circles,community_concentrated,medium,constant,high,10,top_degree_blocking,75.37500000000003,75.37500000000003,0.0,True
large_circles,high_degree,high,constant,high,10,top_degree_blocking,187.20000000000027,187.20000000000027,0.0,True
large_circles,community_concentrated,high,bucket,medium,10,top_degree_blocking,108.29999999999988,108.29999999999988,0.0,True
large_circles,community_concentrated,medium,bucket,medium,10,top_degree_blocking,50.25000000000002,50.25000000000002,0.0,True
large_circles,community_concentrated,medium,constant,medium,10,top_degree_blocking,50.25000000000002,50.25000000000002,0.0,True
large_circles,high_degree,high,bucket,medium,10,top_degree_blocking,124.7999999999998,124.7999999999998,0.0,True
large_circles,high_degree,high,constant,medium,10,top_degree_blocking,124.7999999999998,124.7999999999998,0.0,True
large_circles,community_concentrated,high,constant,high,20,top_degree_blocking,113.25000000000009,113.25000000000009,0.0,True
large_circles,high_degree,high,bucket,high,20,top_degree_blocking,170.77500000000023,170.77500000000023,0.0,True
large_circles,high_degree,medium,bucket,high,20,top_degree_blocking,92.32500000000005,92.32500000000005,0.0,True
large_circles,high_degree,medium,constant,high,20,top_degree_blocking,84.37500000000003,84.37500000000003,0.0,True
large_circles,community_concentrated,high,bucket,medium,20,top_degree_blocking,75.49999999999997,75.49999999999997,0.0,True
large_circles,community_concentrated,high,constant,medium,20,top_degree_blocking,75.49999999999997,75.49999999999997,0.0,True
large_circles,high_degree,medium,bucket,medium,20,top_degree_blocking,56.25000000000002,56.25000000000002,0.0,True
large_circles,high_degree,medium,constant,medium,20,top_degree_blocking,56.25000000000002,56.25000000000002,0.0,True
moderate_large_circles,community_concentrated,medium,bucket,high,10,top_degree_blocking,124.35000000000014,124.35000000000014,0.0,True
moderate_large_circles,high_degree,medium,constant,high,10,top_degree_blocking,115.1250000000001,115.1250000000001,0.0,True
moderate_large_circles,community_concentrated,medium,bucket,medium,10,top_degree_blocking,75.44999999999999,75.44999999999999,0.0,True
moderate_large_circles,high_degree,medium,bucket,medium,10,top_degree_blocking,76.74999999999999,76.74999999999999,0.0,True
moderate_large_circles,high_degree,medium,constant,medium,10,top_degree_blocking,76.74999999999999,76.74999999999999,0.0,True
moderate_large_circles,community_concentrated,high,constant,high,20,top_degree_blocking,136.95000000000016,136.95000000000016,0.0,True
moderate_large_circles,community_concentrated,medium,bucket,high,20,top_degree_blocking,95.47500000000008,95.47500000000008,0.0,True
moderate_large_circles,community_concentrated,medium,constant,high,20,top_degree_blocking,87.15000000000003,87.15000000000003,0.0,True
moderate_large_circles,high_degree,medium,constant,high,20,top_degree_blocking,91.50000000000004,91.50000000000004,0.0,True
moderate_large_circles,community_concentrated,high,bucket,medium,20,top_degree_blocking,91.29999999999993,91.29999999999993,0.0,True
moderate_large_circles,community_concentrated,high,constant,medium,20,top_degree_blocking,91.29999999999993,91.29999999999993,0.0,True
moderate_large_circles,community_concentrated,medium,bucket,medium,20,top_degree_blocking,58.10000000000002,58.10000000000002,0.0,True
moderate_large_circles,community_concentrated,medium,constant,medium,20,top_degree_blocking,58.10000000000002,58.10000000000002,0.0,True
moderate_large_circles,high_degree,medium,bucket,medium,20,top_degree_blocking,61.00000000000003,61.00000000000003,0.0,True
moderate_large_circles,high_degree,medium,constant,medium,20,top_degree_blocking,61.00000000000003,61.00000000000003,0.0,True
moderate_large_circles,high_degree,high,bucket,high,10,pagerank_blocking,190.87500000000028,190.72500000000028,0.15000000000000568,False
moderate_large_circles,high_degree,medium,bucket,high,20,pagerank_blocking,100.27500000000008,100.05000000000008,0.22499999999999432,False
large_circles,high_degree,high,bucket,medium,20,pagerank_blocking,102.89999999999988,102.64999999999988,0.25,False
large_circles,high_degree,high,constant,medium,20,pagerank_blocking,102.89999999999988,102.64999999999988,0.25,False
moderate_large_circles,community_concentrated,medium,constant,high,10,harm_aware_greedy_blocking,113.1750000000001,112.87500000000009,0.30000000000001137,False
moderate_large_circles,community_concentrated,medium,constant,medium,10,greedy_blocking,75.44999999999999,75.1,0.3499999999999943,False
large_circles,high_degree,medium,bucket,medium,10,greedy_blocking,68.05000000000001,67.7,0.3500000000000085,False
large_circles,high_degree,medium,bucket,high,10,greedy_blocking,113.9250000000001,113.5500000000001,0.375,False
large_circles,high_degree,high,constant,high,20,pagerank_blocking,154.3500000000002,153.9750000000002,0.375,False
large_circles,community_concentrated,medium,bucket,medium,20,pagerank_blocking,41.100000000000016,40.600000000000016,0.5,False
large_circles,community_concentrated,medium,constant,medium,20,pagerank_blocking,41.100000000000016,40.600000000000016,0.5,False
moderate_large_circles,high_degree,high,constant,medium,10,pagerank_blocking,119.99999999999984,119.49999999999984,0.5,False
large_circles,community_concentrated,high,bucket,high,20,pagerank_blocking,129.07500000000013,128.40000000000012,0.6750000000000114,False
large_circles,high_degree,medium,constant,medium,10,fairness_aware_greedy_blocking,68.05000000000001,67.30000000000001,0.75,False
large_circles,community_concentrated,medium,constant,high,20,pagerank_blocking,61.64999999999999,60.89999999999999,0.75,False
moderate_large_circles,high_degree,medium,bucket,high,10,harm_aware_greedy_blocking,127.12500000000014,126.37500000000014,0.75,False
large_circles,community_concentrated,medium,bucket,high,20,pagerank_blocking,66.6,65.7,0.8999999999999915,False
moderate_large_circles,community_concentrated,high,bucket,medium,10,pagerank_blocking,117.94999999999985,116.74999999999984,1.2000000000000028,False
moderate_large_circles,community_concentrated,high,constant,medium,10,pagerank_blocking,117.94999999999985,116.74999999999984,1.2000000000000028,False
moderate_large_circles,high_degree,high,bucket,medium,10,harm_aware_resilience_greedy_blocking,119.99999999999984,118.79999999999984,1.2000000000000028,False
moderate_large_circles,high_degree,high,bucket,medium,20,pagerank_blocking,95.14999999999992,93.94999999999992,1.2000000000000028,False
moderate_large_circles,high_degree,high,constant,medium,20,pagerank_blocking,95.14999999999992,93.94999999999992,1.2000000000000028,False
moderate_large_circles,high_degree,high,constant,high,10,harm_aware_greedy_blocking,180.00000000000026,178.65000000000026,1.3499999999999943,False
large_circles,community_concentrated,high,constant,medium,10,harm_aware_greedy_blocking,108.29999999999988,106.94999999999986,1.3500000000000227,False
large_circles,high_degree,medium,constant,high,10,harm_aware_greedy_blocking,102.07500000000007,100.65000000000006,1.4250000000000114,False
moderate_large_circles,community_concentrated,high,bucket,high,20,pagerank_blocking,150.0750000000002,148.5750000000002,1.5,False
moderate_large_circles,community_concentrated,high,constant,high,10,pagerank_blocking,176.92500000000024,175.12500000000026,1.799999999999983,False
moderate_large_circles,high_degree,high,constant,high,20,pagerank_blocking,142.72500000000014,140.92500000000015,1.799999999999983,False
moderate_large_circles,high_degree,high,bucket,high,20,pagerank_blocking,154.3500000000002,151.7250000000002,2.625,False
large_circles,high_degree,high,bucket,high,10,pagerank_blocking,208.20000000000033,205.4250000000003,2.775000000000034,False
moderate_large_circles,community_concentrated,high,bucket,high,10,pagerank_blocking,190.3500000000003,186.37500000000028,3.9750000000000227,False
large_circles,community_concentrated,high,constant,high,10,harm_aware_greedy_blocking,162.45000000000022,157.35000000000022,5.099999999999994,False
large_circles,community_concentrated,high,bucket,high,10,greedy_blocking,190.72500000000028,184.35000000000025,6.375000000000028,False
